Talks_Participation_19_20,Wanted_Programming_Languages,Coding_as_Hobby,Teaching_Problems_POV,Professional_Prod_Env,Open_Source_Participation,Daily_Web_Frameworks,Graduation_Employment_Gap,Preferred_Company_Type,Coding_Experience,Fav_Programming_Languages,Online_InPerson_Preferrence,Side_Projects,Daily_Paltforms,Blog_Posting,Salary_Range_DH,Country,Gender,Reentery_Plans,Learning_Platforms,Primary_OS,Job_Title,Wanted_Web_Frameworks,Local_Dialect_Content,Covid_Remote_Adoption,Teaching_Jobs_Gap,Overtime_Frequency,Daily_Programming_Languages,Moroccan_Community_AutoEval,Help_Sources,Local_Community_Membership,Education,Daily_IDE,Moroccan_DevC_Membership,startTime,Continuous_Learning_Frequency,Event_Attendence_19_20,Immigration_Plans,Wanted_Platforms,Job_Satisfaction,Preferred_Job_Criteria,Employment_Status,Read_Write_Languages,English_Barrier,Age
0,"['Python', 'Go', 'Kotlin', 'Swift']",Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Not Sure'],['I don’t have an account on Github (or alternatives).'],"['Angular', 'Spring Ecosystem']",Few months,Startup,3-5 years,"['JavaScript', 'Java', 'TypeScript', 'Dart']",Live/online events,For profit,['Node.js'],Thinking of it.,13 000 - 15 000,Morocco,Male,No,"['YouTube', 'Paid platforms', 'Official documentation']",Windows,"Developer, full-stack","['React.js', 'Django']",Spoken,The company started remote after covid,Not enough,Never,['Java'],Good,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603883292376,Once every few years,0,Yes,"['Unity 3D', 'Flutter']",Neither satisfied nor dissatisfied,"['Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0,"['Swift', 'Objective-C']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Not Sure'],['I am maintaining my own project'],['Other'],0 months,Startup,Less than 1 year,"['C#', 'C++', 'C']",In-person events?,For profit,['Unity 3D'],"No, I am not interested.",< 6 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts']",Windows + WSL2,"Developer, mobile",['Other'],Both,No remote policy yet,Enough to start,Often: 1-2 days per week or more,['C#'],Not Bad,['Google it'],NO,Self-taught,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603283207672,Once a year,0,Yes,['Flutter'],Very satisfied,"['Flex time or a flexible schedule', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'English']",No,20 to 24 years
More than 3,['Rust'],Yes,"['Students', 'Teachers']",['Full Cloud'],['I am maintaining my own project'],"['Express', 'Flask']",0 months,Small company,5-10 years,"['JavaScript', 'SQL', 'Python', 'C++', 'C', 'Go', 'Ruby']",In-person events?,For profit,['Other'],Yes more than 10 blog posts,> 25 000,Europe,Male,No,"['Books', 'Official documentation', 'Blog posts']",Linux-based,Academic researcher,['Other'],Spoken,We were doing remote before,Enough to start,Never,"['JavaScript', 'Python', 'Go']",Not Bad,"['Google it', 'Stackoverflow']",Yes,Bac +5,['VS Code'],Yes,1603654192995,Once a year,More than 3,Yes,['Other'],Very satisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,20 to 24 years
0,"['Assembly', 'Rust']",Yes,"['Teachers', 'Academic defined subjects (system)']",['Hybrid Cloud'],"['Yes, few PRs in multiple projects']",['Django'],0 months,Startup,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'TypeScript', 'Rust']",Li ja bismilah,For learning,['Other'],"No, I am not interested.",15 000 - 20 000,Morocco,Male,No,['Official documentation'],Windows + WSL2,DevOps specialist,"['React.js', 'Next']",Spoken,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['Python', 'Bash/Shell/PowerShell']",Not Bad,['Google it'],NO,Bac +3,['VS Code'],NO,1603258985679,Every few months,1-3,No,"['Terraform', 'Other']",Very satisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'How widely used or impactful my work output would be']",Employed full-time,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0,"['Python', 'Go']",Yes,['Academic defined subjects (system)'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Other'],Few months,Multinational company,More than 10,"['JavaScript', 'HTML/CSS 😉', 'Bash/Shell/PowerShell', 'PHP', 'C++', 'C', 'VBA']",Live/online events,For learning,['Other'],"No, I am not interested.",> 25 000,Morocco,Male,,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",Windows,System administrator,['Vue.js'],No,No remote policy yet,Enough to start,Occasionally: 1-2 days per quarter but less than monthly ,"['Bash/Shell/PowerShell', 'PHP', 'VBA']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +8,['Atom'],I don’t know Facebook Developer circles,1603289539529,Once a year,0,No,"['TensorFlow', 'Ansible']",Slightly satisfied,"['Opportunities for professional development', 'The industry that I’d be working in', 'Salary']",Employed full-time,"['Arabic', 'French', 'English', 'Others']",Yes,40 years and older
0,"['Java', 'Kotlin', 'Perl']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']",['Full Cloud'],"['Yes, few PRs in multiple projects', 'I am maintaining my own project']","['jQuery', 'React.js', 'Angular', 'Vue.js', 'Angular.js', 'Laravel', 'Symfony', 'Other']",More than 1 year,Small company,5-10 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'PHP', 'TypeScript']",Li ja bismilah,For profit,"['Node.js', 'React Native', 'Cordova']","No, I am not interested.",10 000 - 13 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Official documentation']",Windows,"Developer, full-stack","['Vue.js', 'Django']",No,We were doing remote before,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'Python', 'PHP', 'TypeScript']",Bad,"['Google it', 'Stackoverflow', 'Do other work and come back later.']",NO,Bac +5,"['VS Code', 'Netbeans']",Yes,1603800178207,Every few months,0,Yes,"['Pandas', 'Unity 3D', 'Flutter', 'Xamarin']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0,"['PHP', 'TypeScript']",Yes,['Academic defined subjects (system)'],['Full Cloud'],['I am maintaining my own project'],['React.js'],0 months,Startup,1-3 years,"['JavaScript', 'HTML/CSS 😉']",In-person events?,For profit,['Node.js'],"No, I am not interested.",8 000 - 10 000,Morocco,Male,No,"['YouTube', 'Paid platforms', 'Blog posts']",MacOS,"Developer, front-end","['React.js', 'Vue.js', 'Angular.js']",Spoken,We were doing remote before,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉']",Good,"['Google it', 'Stackoverflow']",Yes,Self-taught,"['VS Code', 'Sublime']",Yes,1603851383861,Every few months,1-3,Yes,['React Native'],Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Opportunities for professional development', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
1 - 3 talks,"['Python', 'Other']",Yes,['Companies engagement with academia'],"['Hybrid Cloud', 'shared hosting']","['Yes, few PRs in multiple projects']","['React.js', 'Angular', 'Vue.js', 'Laravel']",0 months,Multinational company,5-10 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'TypeScript']",Li ja bismilah,For learning,"['Node.js', 'Pandas', 'TensorFlow', 'Keras', 'Cordova']",Thinking of it.,15 000 - 20 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms']",Windows,"Developer, front-end","['Express', 'Django', 'Flask', 'Gatsby']",Both,The company started remote after covid,Everything I needed,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'Python']",Good,"['Google it', 'Stackoverflow']",NO,Self-taught,['VS Code'],Yes,1603664079094,Every few months,0,No,"['TensorFlow', 'React Native', 'Flutter']",Very satisfied,['Opportunities for professional development'],Employed full-time,"['Arabic', 'French', 'English']",No,35 to 39 years
0,"['Java', 'C#', 'PHP']",Yes,['Students'],['Full Cloud'],"['Yes, few PRs in multiple projects']","['jQuery', 'React.js', 'Angular', 'ASP.NET', 'Express', 'ASP.NET Core', 'Vue.js', 'Angular.js']",Few months,Multinational company,Less than 1 year,"['C#', 'PHP']",Li ja bismilah,For learning,['.NET'],"No, I am not interested.",< 6 000,Morocco,Male,Yes,['YouTube'],Windows,"Developer, full-stack","['ASP.NET', 'Vue.js', 'Laravel']",Spoken,,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'Java', 'C#', 'PHP']",Good,['Stackoverflow'],Yes,Bac +2,"['VS Code', 'Netbeans', 'Sublime']",I don’t know Facebook Developer circles,1603218479838,Every few months,1-3,Yes,"['Node.js', '.NET']",Slightly dissatisfied,"['Languages, frameworks, and other technologies I’d be working with']",Looking for work,"['Arabic', 'English']",No,20 to 24 years
1 - 3 talks,"['JavaScript', 'TypeScript', 'Go']",Yes,"['Teachers', 'Academic defined subjects (system)', 'Companies engagement with academia']",['Full Cloud'],['I don’t have an account on Github (or alternatives).'],['Spring Ecosystem'],0 months,Startup,1-3 years,"['Python', 'Java', 'PHP']",Li ja bismilah,For learning,['Other'],Thinking of it.,10 000 - 13 000,Europe,Male,No,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts']",MacOS,"Developer, back-end","['React.js', 'Angular', 'Express']",Both,We were doing remote before,Not enough,Occasionally: 1-2 days per quarter but less than monthly ,"['Python', 'Java']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",Yes,1603552158646,Once a year,1-3,Yes,"['Node.js', 'Ansible', 'Terraform']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'The industry that I’d be working in', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,25 to 29 years
0,['Python'],Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",['Full Cloud'],['I am maintaining my own project'],"['jQuery', 'React.js', 'Laravel', 'Symfony']",0 months,Multinational company,1-3 years,"['JavaScript', 'Java', 'PHP']",Li ja bismilah,For learning,['Other'],Thinking of it.,8 000 - 10 000,Morocco,Male,Yes,"['Books', 'Official documentation']",Linux-based,"Developer, full-stack","['Angular', 'Express']",Both,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'PHP']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Call a coworker or friend']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'Sublime']",Yes,1603229415313,Every few months,1-3,Yes,"['Node.js', 'React Native', 'Flutter']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'How widely used or impactful my work output would be', 'Salary']",Employed full-time,"['Arabic', 'French', 'English', 'Others']",No,25 to 29 years
0,"['Java', 'PHP', 'Other']",Yes,['Companies engagement with academia'],['Full Cloud'],"['Yes, few PRs in multiple projects']","['jQuery', 'React.js', 'ASP.NET', 'Express', 'ASP.NET Core', 'Vue.js', 'Angular.js', 'Other']",Few months,Multinational company,Less than 1 year,"['JavaScript', 'SQL', 'Python', 'C#', 'Kotlin', 'Other']",Li ja bismilah,For learning,"['Node.js', '.NET', 'Unity 3D', 'Xamarin']",Thinking of it.,< 6 000,Morocco,Female,No,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts', 'Company resources', 'Others']",Windows,"Developer, desktop applications","['Django', 'Flask', 'Laravel', 'Ruby on Rails', 'Symfony', 'Drupal', 'Other']",Both,We were doing remote before,Not enough,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'SQL', 'Python', 'C#']",Good,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",Yes,Bac +2,"['VS Code', 'Netbeans', 'Sublime']",NO,1603394966663,Once a year,1-3,No,"['Ansible', 'Flutter', 'Keras', 'Cordova', 'Torch/PyTorch', 'Other']",Very dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'How widely used or impactful my work output would be', 'The industry that I’d be working in']","Freelancer, or self-employed","['Arabic', 'French', 'English', 'Others']",No,20 to 24 years
0,['Rust'],Yes,['Academic defined subjects (system)'],"['shared hosting', 'Not Sure']",['I am maintaining my own project'],"['React.js', 'Symfony']",More than 1 year,Freelance,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'PHP', 'TypeScript', 'C', 'Other']",Li ja bismilah,For learning,"['Node.js', 'Other']",Thinking of it.,< 6 000,Morocco,Male,No,"['Official documentation', 'Blog posts']",Windows,"Developer, full-stack",['Gatsby'],Both,,Not enough,Never,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'PHP']",Not Bad,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +2,['VS Code'],Yes,1603882936342,Once every few years,0,Yes,['React Native'],Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Remote work options', 'How widely used or impactful my work output would be']","Freelancer, or self-employed","['Arabic', 'English']",No,30 to 34 years
0,['Other'],Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']",['Hybrid Cloud'],"['Yes, few PRs in multiple projects', 'I am maintaining my own project']",['Other'],0 months,Medium company,3-5 years,"['Java', 'Bash/Shell/PowerShell', 'Scala']",Li ja bismilah,For learning,"['Ansible', 'Terraform', 'Apache Spark', 'Other']",Thinking of it.,> 25 000,Europe,Male,No,"['YouTube', 'Books', 'Official documentation', 'Blog posts']",MacOS,"Engineer, data",['Other'],Spoken,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,['Scala'],Good,"['Google it', 'Stackoverflow']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code']",NO,1603256706131,Once a year,0,Yes,['Other'],Slightly satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'How widely used or impactful my work output would be', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",Yes,25 to 29 years
0,"['JavaScript', 'SQL', 'C#']",No,"['Students', 'Teachers']",['Not Sure'],"['Yes, few PRs in multiple projects']",['jQuery'],Less than 1 year,Small company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'Python', 'Java', 'C++', 'C', 'VBA']",Live/online events,NO,['Other'],"No, I am not interested.",< 6 000,Morocco,Female,Yes,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts']",Windows,"Developer, back-end","['React.js', 'Angular', 'Vue.js']",Spoken,The company started remote after covid,Enough to start,Often: 1-2 days per week or more,"['C#', 'VBA']",Excellent,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['VS Code', 'Eclipse', 'Other']",NO,1603220068006,Once a year,0,No,['Node.js'],Very satisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,20 to 24 years
0,"['Python', 'Java']",No,['Academic defined subjects (system)'],['Not Sure'],['I don’t have an account on Github (or alternatives).'],['Symfony'],,Medium company,Less than 1 year,"['JavaScript', 'PHP']",Li ja bismilah,NO,['Node.js'],"No, I am not interested.",,Morocco,Male,Yes,['YouTube'],MacOS,"Developer, back-end","['React.js', 'Angular']",No,,Not enough,Sometimes: 1-2 days per month but less than weekly,['PHP'],Good,['Google it'],Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'Eclipse', 'Sublime']",Yes,1603247198911,Once a year,0,Yes,['Node.js'],,"['Languages, frameworks, and other technologies I’d be working with']",Student,"['Arabic', 'French', 'English']",No,25 to 29 years
0,['Python'],Yes,"['Teachers', 'Academic defined subjects (system)']",['Hybrid Cloud'],['I am maintaining my own project'],"['Angular', 'Spring Ecosystem', 'Laravel']",Few months,Medium company,1-3 years,"['JavaScript', 'Java', 'TypeScript']",In-person events?,For learning,['Other'],"No, I am not interested.",8 000 - 10 000,Morocco,Male,,"['Paid platforms', 'Official documentation']",Windows,"Developer, full-stack",['React.js'],Spoken,The company started remote after covid,Not enough,Never,['TypeScript'],Good,"['Google it', 'Stackoverflow']",Yes,Bac +5,"['VS Code', 'Eclipse']",Yes,1603230878571,Once every few years,1-3,Yes,"['Node.js', 'Apache Spark']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Salary']",Looking for work,"['Arabic', 'French', 'English']",No,20 to 24 years
0,['Go'],Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",['Full Cloud'],"['Yes, few PRs in multiple projects']","['Vue.js', 'Laravel']",0 months,Medium company,3-5 years,"['JavaScript', 'C#', 'PHP', 'Go']",In-person events?,For profit,['Node.js'],Yes  less than 10 blog posts,10 000 - 13 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books', 'Official documentation']",Windows,"Developer, full-stack",['ASP.NET Core'],Spoken,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'HTML/CSS  😉', 'PHP']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",NO,1603212324863,Every few months,0,Yes,"['.NET', 'Flutter', 'Xamarin']",Slightly dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
0,"['Swift', 'Other']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']",['Not Sure'],"['I am maintaining my own project', 'I don’t have an account on Github (or alternatives).']","['Angular', 'Spring Ecosystem']",Less than 1 year,Multinational company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'Python', 'Java', 'TypeScript', 'C++', 'Other']",Li ja bismilah,For learning,"['Node.js', 'Other']",Thinking of it.,6 000 - 8 000,Morocco,Female,Yes,"['YouTube', 'Paid platforms', 'Official documentation']",Windows,"Developer, full-stack","['jQuery', 'React.js', 'Django']",Both,,Enough to start,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉', 'Java', 'TypeScript']",Excellent,"['Google it', 'Stackoverflow', 'Do other work and come back later.', 'Watch help/tutorial videos', 'Call a coworker or friend']",NO,Bac +5,"['VS Code', 'Eclipse', 'Vim', 'Other']",I don’t know Facebook Developer circles,1603812925931,Every few months,0,No,"['React Native', 'Flutter', 'Other']",,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Opportunities for professional development', 'Salary']",Looking for work,"['Arabic', 'French', 'English', 'Others']",No,25 to 29 years
0,"['Python', 'Bash/Shell/PowerShell', 'C']",Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",['Not Sure'],['I am maintaining my own project'],['React.js'],0 months,Startup,1-3 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'C']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,,Morocco,Male,Yes,"['YouTube', 'Official documentation', 'Blog posts']",Linux-based,"Developer, front-end","['Django', 'Gatsby', 'Next']",Both,,Not enough,Often: 1-2 days per week or more,"['JavaScript', 'HTML/CSS  😉']",Good,"['Google it', 'Stackoverflow', 'Watch help/tutorial videos']",NO,Self-taught,"['VS Code', 'Vim']",Yes,1603758929772,Every few months,0,Yes,"['Node.js', 'React Native']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Salary']",Looking for work,"['Arabic', 'English']",No,20 to 24 years
0,"['Kotlin', 'Other']",Yes,['Academic defined subjects (system)'],['Not Sure'],"['Yes, few PRs in multiple projects']",['Other'],Few months,Freelance,5-10 years,"['HTML/CSS 😉', 'Java', 'C#', 'PHP', 'Kotlin', 'Other']",Li ja bismilah,For profit,['Other'],Thinking of it.,13 000 - 15 000,Morocco,Male,Yes,['Blog posts'],MacOS,"Developer, mobile",['Other'],Spoken,The company started remote after covid,Enough to start,Occasionally: 1-2 days per quarter but less than monthly ,"['Java', 'Kotlin']",Not Bad,['Google it'],NO,Bac +3,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",NO,1603830868453,Once a year,0,Yes,"['Flutter', 'Other']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'Flex time or a flexible schedule', 'Remote work options', 'The industry that I’d be working in', 'Salary']","Freelancer, or self-employed","['Arabic', 'French', 'English']",No,25 to 29 years
0,"['Java', 'TypeScript']",Yes,"['Students', 'Companies engagement with academia']",['Hybrid Cloud'],"['Yes, few PRs in multiple projects']",['jQuery'],0 months,Multinational company,1-3 years,"['JavaScript', 'Python', 'Kotlin']",Li ja bismilah,For learning,['Node.js'],Thinking of it.,20 000 - 25 000,Europe,Male,No,"['YouTube', 'Books']",MacOS,"Developer, full-stack","['React.js', 'Spring Ecosystem']",Spoken,We were doing remote before,Enough to start,Often: 1-2 days per week or more,['JavaScript'],Good,['Google it'],NO,Bac +5,['VS Code'],Yes,1603224866040,Every few months,More than 3,Yes,['Other'],Very dissatisfied,"['Office environment or company culture', 'How widely used or impactful my work output would be']",Employed full-time,"['Arabic', 'French', 'English', 'Others']",No,25 to 29 years
0,"['Bash/Shell/PowerShell', 'TypeScript']",Yes,['Academic defined subjects (system)'],"['Full Cloud', 'Managed PaaS (heroku, app platform ...)']","['Yes, few PRs in multiple projects']","['Express', 'Django', 'Laravel', 'Symfony']",Few months,Startup,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'Python', 'PHP']",In-person events?,For profit,"['Node.js', 'Other']",Thinking of it.,8 000 - 10 000,Morocco,Male,Yes,"['Official documentation', 'Blog posts', 'Company resources']",Windows + WSL2,"Developer, full-stack","['React.js', 'Next']",Spoken,The company started remote after covid,Enough to start,Sometimes: 1-2 days per month but less than weekly,"['JavaScript', 'PHP']",Bad,"['Google it', 'Do other work and come back later.']",NO,Bac +3,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603223828651,Every few months,0,Yes,"['React Native', 'Ansible']",Slightly satisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Remote work options', 'The industry that I’d be working in']",Employed full-time,"['Arabic', 'French', 'English']",No,25 to 29 years
1 - 3 talks,"['Bash/Shell/PowerShell', 'Swift', 'Rust', 'Dart']",Yes,"['Teachers', 'Academic defined subjects (system)']",['Not Sure'],"['Yes, few PRs in multiple projects']",['jQuery'],,Multinational company,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'SQL', 'PHP', 'TypeScript', 'Dart']",Li ja bismilah,For profit,['Other'],Yes  less than 10 blog posts,,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Books', 'Official documentation', 'Blog posts']",Windows,"Developer, front-end","['React.js', 'Express', 'Vue.js', 'Laravel']",Spoken,,Enough to start,,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'PHP']",Good,"['Google it', 'Do other work and come back later.']",NO,Bac +2,['VS Code'],Yes,1603291874050,Every few months,0,Yes,"['Node.js', 'React Native', 'Flutter']",,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'The industry that I’d be working in', 'Salary']",Student,"['Arabic', 'French', 'English']",No,20 to 24 years
1 - 3 talks,"['Python', 'Other']",Yes,"['Academic defined subjects (system)', 'Companies engagement with academia']",['Full Cloud'],"['Yes, few PRs in multiple projects']","['ASP.NET Core', 'Vue.js']",0 months,Multinational company,3-5 years,"['C#', 'TypeScript']",Li ja bismilah,For learning,"['.NET', 'Ansible', 'Terraform']",Yes more than 10 blog posts,> 25 000,Europe,Male,No,"['YouTube', 'Official documentation', 'Blog posts']",Windows,"Engineer, site reliability",['React.js'],Both,The company started remote after covid,Not enough,Often: 1-2 days per week or more,"['Bash/Shell/PowerShell', 'C#']",Not Bad,['Google it'],Yes,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)', 'VS Code', 'Other']",Yes,1603299703016,Every few months,1-3,Yes,"['Ansible', 'Other']",Neither satisfied nor dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Opportunities for professional development', 'Remote work options', 'Salary']",Employed full-time,"['Arabic', 'Amazigh', 'French', 'English']",No,25 to 29 years
0,"['SQL', 'Python', 'Go', 'Scala']",No,"['Teachers', 'Academic defined subjects (system)']",['Not Sure'],['I don’t have an account on Github (or alternatives).'],"['React.js', 'Django']",0 months,Small company,3-5 years,"['JavaScript', 'SQL', 'TypeScript']",In-person events?,NO,['Other'],Thinking of it.,> 25 000,Europe,Male,No,"['Official documentation', 'Blog posts']",MacOS,"Developer, front-end",['Django'],Spoken,We were doing remote before,Enough to start,Occasionally: 1-2 days per quarter but less than monthly ,"['JavaScript', 'HTML/CSS  😉', 'SQL', 'Python', 'TypeScript']",Good,"['Google it', 'Do other work and come back later.', 'Call a coworker or friend']",NO,Bac +5,"['Jetbrains (Intellij, PhpStorm, Resharper ...)']",Yes,1603642520110,Once a year,0,Yes,['Other'],Very dissatisfied,"['Office environment or company culture', 'Flex time or a flexible schedule', 'Opportunities for professional development', 'The industry that I’d be working in', 'Salary']",Employed full-time,"['Arabic', 'French', 'English']",Yes,25 to 29 years
1 - 3 talks,"['Python', 'Kotlin']",Yes,['Academic defined subjects (system)'],['Full Cloud'],"['Yes, few PRs in multiple projects']","['React.js', 'Laravel']",0 months,Freelance,Less than 1 year,"['JavaScript', 'HTML/CSS 😉', 'Java', 'PHP']",Live/online events,For profit,['Flutter'],Thinking of it.,6 000 - 8 000,Morocco,Male,Yes,"['YouTube', 'Books', 'Official documentation']",Windows,"Developer, full-stack","['Express', 'Angular.js', 'Django']",No,No remote policy yet,Not enough,,['PHP'],Good,"['Google it', 'Do other work and come back later.']",NO,Bac +3,['VS Code'],Yes,1603265260211,Once a year,1-3,Yes,"['Unity 3D', 'Xamarin']",Very dissatisfied,"['Languages, frameworks, and other technologies I’d be working with']",Looking for work,"['Arabic', 'French', 'English']",No,20 to 24 years
1 - 3 talks,"['JavaScript', 'Bash/Shell/PowerShell', 'TypeScript']",Yes,"['Students', 'Teachers', 'Academic defined subjects (system)']",['Full Cloud'],"['Yes, few PRs in multiple projects']","['Angular', 'Other']",0 months,Startup,3-5 years,"['JavaScript', 'HTML/CSS 😉', 'TypeScript']",In-person events?,For learning,['Node.js'],Yes  less than 10 blog posts,6 000 - 8 000,Morocco,Male,Yes,"['YouTube', 'Paid platforms', 'Official documentation', 'Blog posts']",MacOS,"Developer, full-stack",['React.js'],Spoken,The company started remote after covid,Not enough,,['TypeScript'],Good,"['Google it', 'Do other work and come back later.', 'Watch help/tutorial videos']",Yes,Bac +3,['VS Code'],Yes,1603217787313,Every few months,1-3,No,['TensorFlow'],Slightly dissatisfied,"['Languages, frameworks, and other technologies I’d be working with', 'Office environment or company culture', 'How widely used or impactful my work output would be']","Freelancer, or self-employed","['Arabic', 'French', 'English']",No,20 to 24 years
